% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.617	0	0	62	8	16	28	9422	0	0	0
0.618	0	0	62	9	9	28	9422	0	0	0
0.619	0	0	62	10	1	28	9422	0	0	0
0.62	0	0	63	1	19	28	9422	0	0	0
0.621	0	0	63	2	5	28	9422	0	0	0
0.622	0	0	63	3	22	28	9422	0	0	0
0.623	0	0	63	4	10	28	9422	0	0	0
0.624	0	0	63	5	8	28	9422	0	0	0
0.625	0	0	63	6	17	28	9422	0	0	0
0.626	0	0	63	7	21	28	9422	0	0	0
0.627	0	0	63	8	13	28	9422	0	0	0
0.628	0	0	63	9	4	28	9422	0	0	0
0.629	0	0	63	10	28	28	9422	0	0	0
0.63	0	0	64	1	29	28	9422	0	0	0
0.631	0	0	64	2	3	28	9422	0	0	0
0.632	0	0	64	3	30	28	9422	0	0	0
0.633	0	0	64	4	7	28	9422	0	0	0
0.634	0	0	64	5	11	28	9422	0	0	0
0.635	0	0	64	6	27	28	9422	0	0	0
0.636	0	0	64	7	26	28	9422	0	0	0
0.637	0	0	64	8	12	28	9422	0	0	0
0.638	0	0	64	9	20	28	9422	0	0	0
0.639	0	0	64	10	24	28	9422	0	0	0
0.64	0	0	65	1	16	28	9422	0	0	0
0.641	0	0	65	2	6	28	9422	0	0	0
0.642	0	0	65	3	14	28	9422	0	0	0
0.643	0	0	65	4	19	28	9422	0	0	0
0.644	0	0	65	5	22	28	9422	0	0	0
0.645	0	0	65	6	10	28	9422	0	0	0
0.646	0	0	65	7	8	28	9422	0	0	0
0.647	0	0	65	8	2	28	9422	0	0	0
0.648	0	0	65	9	1	28	9422	0	0	0
0.649	0	0	65	10	5	28	9422	0	0	0
0.65	0	0	66	1	17	28	9422	0	0	0
0.651	0	0	66	2	21	28	9422	0	0	0
0.652	0	0	66	3	13	28	9422	0	0	0
0.653	0	0	66	4	4	28	9422	0	0	0
0.654	0	0	66	5	28	28	9422	0	0	0
0.655	0	0	66	6	29	28	9422	0	0	0
0.656	0	0	66	7	3	28	9422	0	0	0
0.657	0	0	66	8	7	28	9422	0	0	0
0.658	0	0	66	9	27	28	9422	0	0	0
0.659	0	0	66	10	25	28	9422	0	0	0
0.66	0	0	67	1	9	28	9422	0	0	0
0.661	0	0	67	2	16	28	9422	0	0	0
0.662	0	0	67	3	2	28	9422	0	0	0
0.663	0	0	67	4	30	28	9422	0	0	0
0.664	0	0	67	5	11	28	9422	0	0	0
0.665	0	0	67	6	6	28	9422	0	0	0
0.666	0	0	67	7	14	28	9422	0	0	0
0.667	0	0	67	8	1	28	9422	0	0	0
0.668	0	0	67	9	19	28	9422	0	0	0
0.669	0	0	67	10	22	28	9422	0	0	0
0.67	0	0	68	1	5	28	9422	0	0	0
0.671	0	0	68	2	10	28	9422	0	0	0
0.672	0	0	68	3	8	28	9422	0	0	0
0.673	0	0	68	4	17	28	9422	0	0	0
0.674	0	0	68	5	27	28	9422	0	0	0
0.675	0	0	68	6	21	28	9422	0	0	0
0.676	0	0	68	7	13	28	9422	0	0	0
0.677	0	0	68	8	4	28	9422	0	0	0
0.678	0	0	68	9	28	28	9422	0	0	0
0.679	0	0	68	10	29	28	9422	0	0	0
0.68	0	0	69	1	3	28	9422	0	0	0
0.681	0	0	69	2	7	28	9422	0	0	0
0.682	0	0	69	3	15	28	9422	0	0	0
0.683	0	0	69	4	18	28	9422	0	0	0
0.684	0	0	69	5	23	28	9422	0	0	0
0.685	0	0	69	6	25	28	9422	0	0	0
0.686	0	0	69	7	26	28	9422	0	0	0
0.687	0	0	69	8	12	28	9422	0	0	0
0.688	0	0	69	9	24	28	9422	0	0	0
0.689	0	0	69	10	9	28	9422	0	0	0
0.69	0	0	70	1	16	28	9422	0	0	0
0.691	0	0	70	2	11	28	9422	0	0	0
0.692	0	0	70	3	6	28	9422	0	0	0
0.693	0	0	70	4	14	28	9422	0	0	0
0.694	0	0	70	5	1	28	9422	0	0	0
0.695	0	0	70	6	19	28	9422	0	0	0
0.696	0	0	70	7	22	28	9422	0	0	0
0.697	0	0	70	8	5	28	9422	0	0	0
0.698	0	0	70	9	10	28	9422	0	0	0
0.699	0	0	70	10	8	28	9422	0	0	0
0.7	0	0	71	1	17	28	9422	0	0	0
0.701	0	0	71	2	27	28	9422	0	0	0
0.702	0	0	71	3	21	28	9422	0	0	0
0.703	0	0	71	4	13	28	9422	0	0	0
0.704	0	0	71	5	2	28	9422	0	0	0
0.705	0	0	71	6	18	28	9422	0	0	0
0.706	0	0	71	7	25	28	9422	0	0	0
0.707	0	0	71	8	12	28	9422	0	0	0
0.708	0	0	71	9	24	28	9422	0	0	0
0.709	0	0	71	10	30	28	9422	0	0	0
0.71	0	0	72	1	9	28	9422	0	0	0
0.711	0	0	72	2	16	28	9422	0	0	0
0.712	0	0	72	3	4	28	9422	0	0	0
0.713	0	0	72	4	28	28	9422	0	0	0
0.714	0	0	72	5	29	28	9422	0	0	0
0.715	0	0	72	6	3	28	9422	0	0	0
0.716	0	0	72	7	7	28	9422	0	0	0
0.717	0	0	72	8	2	28	9422	0	0	0
0.718	0	0	72	9	11	28	9422	0	0	0
0.719	0	0	72	10	6	28	9422	0	0	0
0.72	0	0	73	1	14	28	9422	0	0	0
0.721	0	0	73	2	30	28	9422	0	0	0
0.722	0	0	73	3	1	28	9422	0	0	0
0.723	0	0	73	4	19	28	9422	0	0	0
0.724	0	0	73	5	22	28	9422	0	0	0
0.725	0	0	73	6	10	28	9422	0	0	0
0.726	0	0	73	7	17	28	9422	0	0	0
0.727	0	0	73	8	5	28	9422	0	0	0
0.728	0	0	73	9	15	28	9422	0	0	0
0.729	0	0	73	10	20	28	9422	0	0	0
0.73	0	0	74	1	12	28	9422	0	0	0
0.731	0	0	74	2	9	28	9422	0	0	0
0.732	0	0	74	3	8	28	9422	0	0	0
0.733	0	0	74	4	27	28	9422	0	0	0
0.734	0	0	74	5	21	28	9422	0	0	0
0.735	0	0	74	6	13	28	9422	0	0	0
0.736	0	0	74	7	4	28	9422	0	0	0
0.737	0	0	74	8	28	28	9422	0	0	0
0.738	0	0	74	9	29	28	9422	0	0	0
0.739	0	0	74	10	3	28	9422	0	0	0
0.74	0	0	75	1	11	28	9422	0	0	0
0.741	0	0	75	2	6	28	9422	0	0	0
0.742	0	0	75	3	14	28	9422	0	0	0
0.743	0	0	75	4	30	28	9422	0	0	0
0.744	0	0	75	5	1	28	9422	0	0	0
0.745	0	0	75	6	19	28	9422	0	0	0
0.746	0	0	75	7	22	28	9422	0	0	0
0.747	0	0	75	8	10	28	9422	0	0	0
0.748	0	0	75	9	17	28	9422	0	0	0
0.749	0	0	75	10	27	28	9422	0	0	0
0.75	0	0	76	1	7	28	9422	0	0	0
0.751	0	0	76	2	23	28	9422	0	0	0
0.752	0	0	76	3	26	28	9422	0	0	0
0.753	0	0	76	4	15	28	9422	0	0	0
0.754	0	0	76	5	18	28	9422	0	0	0
0.755	0	0	76	6	25	28	9422	0	0	0
0.756	0	0	76	7	2	28	9422	0	0	0
0.757	0	0	76	8	12	28	9422	0	0	0
0.758	0	0	76	9	9	28	9422	0	0	0
0.759	0	0	76	10	5	28	9422	0	0	0
0.76	0	0	77	1	8	28	9422	0	0	0
0.761	0	0	77	2	21	28	9422	0	0	0
0.762	0	0	77	3	13	28	9422	0	0	0
0.763	0	0	77	4	4	28	9422	0	0	0
0.764	0	0	77	5	28	28	9422	0	0	0
0.765	0	0	77	6	29	28	9422	0	0	0
0.766	0	0	77	7	3	28	9422	0	0	0
0.767	0	0	77	8	7	28	9422	0	0	0
0.768	0	0	77	9	11	28	9422	0	0	0
0.769	0	0	77	10	6	28	9422	0	0	0
0.77	0	0	78	1	14	28	9422	0	0	0
0.771	0	0	78	2	1	28	9422	0	0	0
0.772	0	0	78	3	19	28	9422	0	0	0
0.773	0	0	78	4	22	28	9422	0	0	0
0.774	0	0	78	5	23	28	9422	0	0	0
0.775	0	0	78	6	15	28	9422	0	0	0
0.776	0	0	78	7	10	28	9422	0	0	0
0.777	0	0	78	8	9	28	9422	0	0	0
0.778	0	0	78	9	17	28	9422	0	0	0
0.779	0	0	78	10	27	28	9422	0	0	0
0.78	0	0	79	1	21	28	9422	0	0	0
0.781	0	0	79	2	13	28	9422	0	0	0
0.782	0	0	79	3	28	28	9422	0	0	0
0.783	0	0	79	4	29	28	9422	0	0	0
0.784	0	0	79	5	2	28	9422	0	0	0
0.785	0	0	79	6	30	28	9422	0	0	0
0.786	0	0	79	7	5	28	9422	0	0	0
0.787	0	0	79	8	8	28	9422	0	0	0
0.788	0	0	79	9	4	28	9422	0	0	0
0.789	0	0	79	10	3	28	9422	0	0	0
0.79	0	0	80	1	7	28	9422	0	0	0
0.791	0	0	80	2	11	28	9422	0	0	0
0.792	0	0	80	3	6	28	9422	0	0	0
0.793	0	0	80	4	14	28	9422	0	0	0
0.794	0	0	80	5	1	28	9422	0	0	0
0.795	0	0	80	6	19	28	9422	0	0	0
0.796	0	0	80	7	22	28	9422	0	0	0
0.797	0	0	80	8	20	28	9422	0	0	0
0.798	0	0	80	9	18	28	9422	0	0	0
0.799	0	0	80	10	23	28	9422	0	0	0
0.8	0	0	81	1	2	28	9422	0	0	0
0.801	0	0	81	2	30	28	9422	0	0	0
0.802	0	0	81	3	10	28	9422	0	0	0
0.803	0	0	81	4	17	28	9422	0	0	0
0.804	0	0	81	5	27	28	9422	0	0	0
0.805	0	0	81	6	5	28	9422	0	0	0
0.806	0	0	81	7	21	28	9422	0	0	0
0.807	0	0	81	8	13	28	9422	0	0	0
0.808	0	0	81	9	28	28	9422	0	0	0
0.809	0	0	81	10	4	28	9422	0	0	0
0.81	0	0	82	1	29	28	9422	0	0	0
0.811	0	0	82	2	3	28	9422	0	0	0
0.812	0	0	82	3	7	28	9422	0	0	0
0.813	0	0	82	4	11	28	9422	0	0	0
0.814	0	0	82	5	6	28	9422	0	0	0
0.815	0	0	82	6	14	28	9422	0	0	0
0.816	0	0	82	7	19	28	9422	0	0	0
0.817	0	0	82	8	22	28	9422	0	0	0
0.818	0	0	82	9	17	28	9422	0	0	0
0.819	0	0	82	10	8	28	9422	0	0	0
0.82	0	0	83	1	24	28	9422	0	0	0
0.821	0	0	83	2	26	28	9422	0	0	0
0.822	0	0	83	3	23	28	9422	0	0	0
0.823	0	0	83	4	9	28	9422	0	0	0
0.824	0	0	83	5	5	28	9422	0	0	0
0.825	0	0	83	6	21	28	9422	0	0	0
0.826	0	0	83	7	13	28	9422	0	0	0
0.827	0	0	83	8	28	28	9422	0	0	0
0.828	0	0	83	9	29	28	9422	0	0	0
0.829	0	0	83	10	3	28	9422	0	0	0
0.83	0	0	84	1	2	28	9422	0	0	0
0.831	0	0	84	2	30	28	9422	0	0	0
0.832	0	0	84	3	10	28	9422	0	0	0
0.833	0	0	84	4	27	28	9422	0	0	0
0.834	0	0	84	5	4	28	9422	0	0	0
0.835	0	0	84	6	11	28	9422	0	0	0
0.836	0	0	84	7	6	28	9422	0	0	0
0.837	0	0	84	8	14	28	9422	0	0	0
0.838	0	0	84	9	19	28	9422	0	0	0
0.839	0	0	84	10	22	28	9422	0	0	0
0.84	0	0	85	1	17	28	9422	0	0	0
0.841	0	0	85	2	21	28	9422	0	0	0
0.842	0	0	85	3	1	28	9422	0	0	0
0.843	0	0	85	4	25	28	9422	0	0	0
0.844	0	0	85	5	20	28	9422	0	0	0
0.845	0	0	85	6	26	28	9422	0	0	0
0.846	0	0	85	7	9	28	9422	0	0	0
0.847	0	0	85	8	2	28	9422	0	0	0
0.848	0	0	85	9	13	28	9422	0	0	0
0.849	0	0	85	10	28	28	9422	0	0	0
0.85	0	0	86	1	29	28	9422	0	0	0
0.851	0	0	86	2	4	28	9422	0	0	0
0.852	0	0	86	3	3	28	9422	0	0	0
0.853	0	0	86	4	8	28	9422	0	0	0
0.854	0	0	86	5	1	28	9422	0	0	0
0.855	0	0	86	6	27	28	9422	0	0	0
0.856	0	0	86	7	11	28	9422	0	0	0
0.857	0	0	86	8	6	28	9422	0	0	0
0.858	0	0	86	9	14	28	9422	0	0	0
0.859	0	0	86	10	19	28	9422	0	0	0
0.86	0	0	87	1	22	28	9422	0	0	0
0.861	0	0	87	2	17	28	9422	0	0	0
0.862	0	0	87	3	21	28	9422	0	0	0
0.863	0	0	87	4	13	28	9422	0	0	0
0.864	0	0	87	5	28	28	9422	0	0	0
0.865	0	0	87	6	7	28	9422	0	0	0
0.866	0	0	87	7	12	28	9422	0	0	0
0.867	0	0	87	8	20	28	9422	0	0	0
0.868	0	0	87	9	26	28	9422	0	0	0
0.869	0	0	87	10	23	28	9422	0	0	0
0.87	0	0	88	1	9	28	9422	0	0	0
0.871	0	0	88	2	8	28	9422	0	0	0
0.872	0	0	88	3	1	28	9422	0	0	0
0.873	0	0	88	4	29	28	9422	0	0	0
0.874	0	0	88	5	4	28	9422	0	0	0
0.875	0	0	88	6	3	28	9422	0	0	0
0.876	0	0	88	7	7	28	9422	0	0	0
0.877	0	0	88	8	11	28	9422	0	0	0
0.878	0	0	88	9	6	28	9422	0	0	0
0.879	0	0	88	10	14	28	9422	0	0	0
0.88	0	0	89	1	19	28	9422	0	0	0
0.881	0	0	89	2	22	28	9422	0	0	0
0.882	0	0	89	3	17	28	9422	0	0	0
0.883	0	0	89	4	21	28	9422	0	0	0
0.884	0	0	89	5	1	28	9422	0	0	0
0.885	0	0	89	6	13	28	9422	0	0	0
0.886	0	0	89	7	28	28	9422	0	0	0
0.887	0	0	89	8	29	28	9422	0	0	0
0.888	0	0	89	9	10	28	9422	0	0	0
0.889	0	0	89	10	16	28	9422	0	0	0
0.89	0	0	90	1	18	28	9422	0	0	0
0.891	0	0	90	2	25	28	9422	0	0	0
0.892	0	0	90	3	27	28	9422	0	0	0
0.893	0	0	90	4	8	28	9422	0	0	0
0.894	0	0	90	5	7	28	9422	0	0	0
0.895	0	0	90	6	4	28	9422	0	0	0
0.896	0	0	90	7	3	28	9422	0	0	0
0.897	0	0	90	8	11	28	9422	0	0	0
0.898	0	0	90	9	6	28	9422	0	0	0
0.899	0	0	90	10	5	28	9422	0	0	0
0.9	0	0	91	1	2	28	9422	0	0	0
0.901	0	0	91	2	10	28	9422	0	0	0
0.902	0	0	91	3	27	28	9422	0	0	0
0.903	0	0	91	4	14	28	9422	0	0	0
0.904	0	0	91	5	19	28	9422	0	0	0
0.905	0	0	91	6	22	28	9422	0	0	0
0.906	0	0	91	7	17	28	9422	0	0	0
0.907	0	0	91	8	21	28	9422	0	0	0
0.908	0	0	91	9	7	28	9422	0	0	0
0.909	0	0	91	10	1	28	9422	0	0	0
0.91	0	0	92	1	8	28	9422	0	0	0
0.911	0	0	92	2	5	28	9422	0	0	0
0.912	0	0	92	3	15	28	9422	0	0	0
0.913	0	0	92	4	24	28	9422	0	0	0
0.914	0	0	92	5	16	28	9422	0	0	0
0.915	0	0	92	6	12	28	9422	0	0	0
0.916	0	0	92	7	20	28	9422	0	0	0
0.917	0	0	92	8	25	28	9422	0	0	0
0.918	0	0	92	9	23	28	9422	0	0	0
0.919	0	0	92	10	13	28	9422	0	0	0
0.92	0	0	93	1	28	28	9422	0	0	0
0.921	0	0	93	2	29	28	9422	0	0	0
0.922	0	0	93	3	5	28	9422	0	0	0
0.923	0	0	93	4	4	28	9422	0	0	0
0.924	0	0	93	5	3	28	9422	0	0	0
0.925	0	0	93	6	27	28	9422	0	0	0
0.926	0	0	93	7	11	28	9422	0	0	0
0.927	0	0	93	8	6	28	9422	0	0	0
0.928	0	0	93	9	14	28	9422	0	0	0
0.929	0	0	93	10	19	28	9422	0	0	0
0.93	0	0	94	1	22	28	9422	0	0	0
0.931	0	0	94	2	17	28	9422	0	0	0
0.932	0	0	94	3	21	28	9422	0	0	0
0.933	0	0	94	4	8	28	9422	0	0	0
0.934	0	0	94	5	7	28	9422	0	0	0
0.935	0	0	94	6	15	28	9422	0	0	0
0.936	0	0	94	7	24	28	9422	0	0	0
0.937	0	0	94	8	16	28	9422	0	0	0
0.938	0	0	94	9	12	28	9422	0	0	0
0.939	0	0	94	10	9	28	9422	0	0	0
0.94	0	0	95	1	20	28	9422	0	0	0
0.941	0	0	95	2	23	28	9422	0	0	0
0.942	0	0	95	3	1	28	9422	0	0	0
0.943	0	0	95	4	13	28	9422	0	0	0
0.944	0	0	95	5	28	28	9422	0	0	0
0.945	0	0	95	6	2	28	9422	0	0	0
0.946	0	0	95	7	29	28	9422	0	0	0
0.947	0	0	95	8	4	28	9422	0	0	0
0.948	0	0	95	9	3	28	9422	0	0	0
0.949	0	0	95	10	27	28	9422	0	0	0
0.95	0	0	96	1	11	28	9422	0	0	0
0.951	0	0	96	2	6	28	9422	0	0	0
0.952	0	0	96	3	14	28	9422	0	0	0
0.953	0	0	96	4	19	28	9422	0	0	0
0.954	0	0	96	5	22	28	9422	0	0	0
0.955	0	0	96	6	17	28	9422	0	0	0
0.956	0	0	96	7	2	28	9422	0	0	0
0.957	0	0	96	8	5	28	9422	0	0	0
0.958	0	0	96	9	18	28	9422	0	0	0
0.959	0	0	96	10	26	28	9422	0	0	0
0.96	0	0	97	1	25	28	9422	0	0	0
0.961	0	0	97	2	24	28	9422	0	0	0
0.962	0	0	97	3	16	28	9422	0	0	0
0.963	0	0	97	4	12	28	9422	0	0	0
0.964	0	0	97	5	9	28	9422	0	0	0
0.965	0	0	97	6	20	28	9422	0	0	0
0.966	0	0	97	7	8	28	9422	0	0	0
0.967	0	0	97	8	21	28	9422	0	0	0
0.968	0	0	97	9	7	28	9422	0	0	0
0.969	0	0	97	10	2	28	9422	0	0	0
0.97	0	0	98	1	13	28	9422	0	0	0
0.971	0	0	98	2	28	28	9422	0	0	0
0.972	0	0	98	3	5	28	9422	0	0	0
0.973	0	0	98	4	29	28	9422	0	0	0
0.974	0	0	98	5	4	28	9422	0	0	0
0.975	0	0	98	6	3	28	9422	0	0	0
0.976	0	0	98	7	27	28	9422	0	0	0
0.977	0	0	98	8	11	28	9422	0	0	0
0.978	0	0	98	9	6	28	9422	0	0	0
0.979	0	0	98	10	1	28	9422	0	0	0
0.98	0	0	99	1	14	28	9422	0	0	0
0.981	0	0	99	2	26	28	9422	0	0	0
0.982	0	0	99	3	25	28	9422	0	0	0
0.983	0	0	99	4	24	28	9422	0	0	0
0.984	0	0	99	5	16	28	9422	0	0	0
0.985	0	0	99	6	20	28	9422	0	0	0
0.986	0	0	99	7	19	28	9422	0	0	0
0.987	0	0	99	8	22	28	9422	0	0	0
0.988	0	0	99	9	17	28	9422	0	0	0
0.989	0	0	99	10	8	28	9422	0	0	0
0.99	0	0	100	1	21	28	9422	0	0	0
0.991	0	0	100	2	10	28	9422	0	0	0
0.992	0	0	100	3	2	28	9422	0	0	0
0.993	0	0	100	4	13	28	9422	0	0	0
0.994	0	0	100	5	28	28	9422	0	0	0
0.995	0	0	100	6	5	28	9422	0	0	0
0.996	0	0	100	7	29	28	9422	0	0	0
0.997	0	0	100	8	4	28	9422	0	0	0
0.998	0	0	100	9	3	28	9422	0	0	0
0.999	0	0	100	10	27	28	9422	0	0	0
1	0	0	101	1	11	28	9422	0	0	0
1.001	0	0	101	2	6	28	9422	0	0	0
1.002	0	0	101	3	10	28	9422	0	0	0
1.003	0	0	101	4	7	28	9422	0	0	0
1.004	0	0	101	5	23	28	9422	0	0	0
1.005	0	0	101	6	26	28	9422	0	0	0
1.006	0	0	101	7	16	28	9422	0	0	0
1.007	0	0	101	8	14	28	9422	0	0	0
1.008	0	0	101	9	19	28	9422	0	0	0
1.009	0	0	101	10	22	28	9422	0	0	0
1.01	0	0	102	1	17	28	9422	0	0	0
1.011	0	0	102	2	8	28	9422	0	0	0
1.012	0	0	102	3	21	28	9422	0	0	0
1.013	0	0	102	4	13	28	9422	0	0	0
1.014	0	0	102	5	30	28	9422	0	0	0
1.015	0	0	102	6	1	28	9422	0	0	0
1.016	0	0	102	7	7	28	9422	0	0	0
1.017	0	0	102	8	28	28	9422	0	0	0
1.018	0	0	102	9	5	28	9422	0	0	0
1.019	0	0	102	10	29	28	9422	0	0	0
1.02	0	0	103	1	4	28	9422	0	0	0
1.021	0	0	103	2	3	28	9422	0	0	0
1.022	0	0	103	3	27	28	9422	0	0	0
1.023	0	0	103	4	11	28	9422	0	0	0
1.024	0	0	103	5	6	28	9422	0	0	0
1.025	0	0	103	6	30	28	9422	0	0	0
1.026	0	0	103	7	10	28	9422	0	0	0
1.027	0	0	103	8	15	28	9422	0	0	0
1.028	0	0	103	9	18	28	9422	0	0	0
1.029	0	0	103	10	9	28	9422	0	0	0
1.03	0	0	104	1	25	28	9422	0	0	0
1.031	0	0	104	2	24	28	9422	0	0	0
1.032	0	0	104	3	23	28	9422	0	0	0
1.033	0	0	104	4	26	28	9422	0	0	0
1.034	0	0	104	5	16	28	9422	0	0	0
1.035	0	0	104	6	2	28	9422	0	0	0
1.036	0	0	104	7	1	28	9422	0	0	0
1.037	0	0	104	8	10	28	9422	0	0	0
1.038	0	0	104	9	14	28	9422	0	0	0
1.039	0	0	104	10	19	28	9422	0	0	0
1.04	0	0	105	1	22	28	9422	0	0	0
1.041	0	0	105	2	17	28	9422	0	0	0
1.042	0	0	105	3	8	28	9422	0	0	0
1.043	0	0	105	4	21	28	9422	0	0	0
1.044	0	0	105	5	13	28	9422	0	0	0
1.045	0	0	105	6	7	28	9422	0	0	0
1.046	0	0	105	7	28	28	9422	0	0	0
1.047	0	0	105	8	5	28	9422	0	0	0
1.048	0	0	105	9	30	28	9422	0	0	0
1.049	0	0	105	10	29	28	9422	0	0	0
1.05	0	0	106	1	15	28	9422	0	0	0
1.051	0	0	106	2	20	28	9422	0	0	0
1.052	0	0	106	3	25	28	9422	0	0	0
1.053	0	0	106	4	24	28	9422	0	0	0
1.054	0	0	106	5	26	28	9422	0	0	0
1.055	0	0	106	6	16	28	9422	0	0	0
1.056	0	0	106	7	2	28	9422	0	0	0
1.057	0	0	106	8	3	28	9422	0	0	0
1.058	0	0	106	9	27	28	9422	0	0	0
1.059	0	0	106	10	11	28	9422	0	0	0
1.06	0	0	107	1	30	28	9422	0	0	0
1.061	0	0	107	2	4	28	9422	0	0	0
1.062	0	0	107	3	1	28	9422	0	0	0
1.063	0	0	107	4	6	28	9422	0	0	0
1.064	0	0	107	5	10	28	9422	0	0	0
1.065	0	0	107	6	14	28	9422	0	0	0
1.066	0	0	107	7	19	28	9422	0	0	0
1.067	0	0	107	8	22	28	9422	0	0	0
1.068	0	0	107	9	17	28	9422	0	0	0
1.069	0	0	107	10	8	28	9422	0	0	0
1.07	0	0	108	1	21	28	9422	0	0	0
1.071	0	0	108	2	13	28	9422	0	0	0
1.072	0	0	108	3	7	28	9422	0	0	0
1.073	0	0	108	4	18	28	9422	0	0	0
1.074	0	0	108	5	9	28	9422	0	0	0
1.075	0	0	108	6	20	28	9422	0	0	0
1.076	0	0	108	7	26	28	9422	0	0	0
1.077	0	0	108	8	28	28	9422	0	0	0
1.078	0	0	108	9	5	28	9422	0	0	0
1.079	0	0	108	10	29	28	9422	0	0	0
1.08	0	0	109	1	2	28	9422	0	0	0
1.081	0	0	109	2	3	28	9422	0	0	0
1.082	0	0	109	3	11	28	9422	0	0	0
1.083	0	0	109	4	27	28	9422	0	0	0
1.084	0	0	109	5	1	28	9422	0	0	0
1.085	0	0	109	6	6	28	9422	0	0	0
1.086	0	0	109	7	14	28	9422	0	0	0
1.087	0	0	109	8	19	28	9422	0	0	0
1.088	0	0	109	9	22	28	9422	0	0	0
1.089	0	0	109	10	17	28	9422	0	0	0
1.09	0	0	110	1	8	28	9422	0	0	0
1.091	0	0	110	2	21	28	9422	0	0	0
1.092	0	0	110	3	13	28	9422	0	0	0
1.093	0	0	110	4	7	28	9422	0	0	0
1.094	0	0	110	5	28	28	9422	0	0	0
1.095	0	0	110	6	29	28	9422	0	0	0
1.096	0	0	110	7	18	28	9422	0	0	0
1.097	0	0	110	8	24	28	9422	0	0	0
1.098	0	0	110	9	20	28	9422	0	0	0
1.099	0	0	110	10	2	28	9422	0	0	0
1.1	0	0	111	1	3	28	9422	0	0	0
1.101	0	0	111	2	11	28	9422	0	0	0
1.102	0	0	111	3	6	28	9422	0	0	0
1.103	0	0	111	4	14	28	9422	0	0	0
1.104	0	0	111	5	19	28	9422	0	0	0
1.105	0	0	111	6	10	28	9422	0	0	0
1.106	0	0	111	7	5	28	9422	0	0	0
1.107	0	0	111	8	1	28	9422	0	0	0
1.108	0	0	111	9	22	28	9422	0	0	0
1.109	0	0	111	10	17	28	9422	0	0	0
1.11	0	0	112	1	8	28	9422	0	0	0
1.111	0	0	112	2	21	28	9422	0	0	0
1.112	0	0	112	3	13	28	9422	0	0	0
1.113	0	0	112	4	28	28	9422	0	0	0
1.114	0	0	112	5	29	28	9422	0	0	0
1.115	0	0	112	6	2	28	9422	0	0	0
1.116	0	0	112	7	3	28	9422	0	0	0
1.117	0	0	112	8	27	28	9422	0	0	0
1.118	0	0	112	9	11	28	9422	0	0	0
1.119	0	0	112	10	9	28	9422	0	0	0
1.12	0	0	113	1	16	28	9422	0	0	0
1.121	0	0	113	2	18	28	9422	0	0	0
1.122	0	0	113	3	26	28	9422	0	0	0
1.123	0	0	113	4	20	28	9422	0	0	0
1.124	0	0	113	5	6	28	9422	0	0	0
1.125	0	0	113	6	1	28	9422	0	0	0
1.126	0	0	113	7	14	28	9422	0	0	0
1.127	0	0	113	8	19	28	9422	0	0	0
1.128	0	0	113	9	10	28	9422	0	0	0
1.129	0	0	113	10	4	28	9422	0	0	0
1.13	0	0	114	1	7	28	9422	0	0	0
1.131	0	0	114	2	5	28	9422	0	0	0
1.132	0	0	114	3	27	28	9422	0	0	0
1.133	0	0	114	4	22	28	9422	0	0	0
1.134	0	0	114	5	17	28	9422	0	0	0
1.135	0	0	114	6	21	28	9422	0	0	0
1.136	0	0	114	7	13	28	9422	0	0	0
1.137	0	0	114	8	28	28	9422	0	0	0
1.138	0	0	114	9	29	28	9422	0	0	0
1.139	0	0	114	10	3	28	9422	0	0	0
1.14	0	0	115	1	30	28	9422	0	0	0
1.141	0	0	115	2	10	28	9422	0	0	0
1.142	0	0	115	3	12	28	9422	0	0	0
1.143	0	0	115	4	15	28	9422	0	0	0
1.144	0	0	115	5	23	28	9422	0	0	0
1.145	0	0	115	6	25	28	9422	0	0	0
1.146	0	0	115	7	24	28	9422	0	0	0
1.147	0	0	115	8	2	28	9422	0	0	0
1.148	0	0	115	9	5	28	9422	0	0	0
1.149	0	0	115	10	11	28	9422	0	0	0
1.15	0	0	116	1	6	28	9422	0	0	0
1.151	0	0	116	2	8	28	9422	0	0	0
1.152	0	0	116	3	1	28	9422	0	0	0
1.153	0	0	116	4	14	28	9422	0	0	0
1.154	0	0	116	5	27	28	9422	0	0	0
1.155	0	0	116	6	19	28	9422	0	0	0
1.156	0	0	116	7	22	28	9422	0	0	0
1.157	0	0	116	8	17	28	9422	0	0	0
1.158	0	0	116	9	21	28	9422	0	0	0
1.159	0	0	116	10	13	28	9422	0	0	0
1.16	0	0	117	1	10	28	9422	0	0	0
1.161	0	0	117	2	28	28	9422	0	0	0
1.162	0	0	117	3	29	28	9422	0	0	0
1.163	0	0	117	4	30	28	9422	0	0	0
1.164	0	0	117	5	23	28	9422	0	0	0
1.165	0	0	117	6	25	28	9422	0	0	0
1.166	0	0	117	7	16	28	9422	0	0	0
1.167	0	0	117	8	4	28	9422	0	0	0
1.168	0	0	117	9	26	28	9422	0	0	0
1.169	0	0	117	10	20	28	9422	0	0	0
1.17	0	0	118	1	8	28	9422	0	0	0
1.171	0	0	118	2	3	28	9422	0	0	0
1.172	0	0	118	3	2	28	9422	0	0	0
1.173	0	0	118	4	5	28	9422	0	0	0
